Company,Symbol,Weight,Price,,,,,,,,,,,,,,,,,,,,Country
Nvidia,NVDA,7.12%,172.7,,,,,,,,,,,,,,,,,,,,USA
Apple Inc.,AAPL,6.18%,247.99,,,,,,,,,,,,,,,,,,,,USA
Microsoft,MSFT,4.81%,381.87,,,,,,,,,,,,,,,,,,,,USA
Amazon,AMZN,3.74%,205.37,,,,,,,,,,,,,,,,,,,,USA
Alphabet Inc. (Class A),GOOGL,3.20%,301,,,,,,,,,,,,,,,,,,,,USA
Alphabet Inc. (Class C),GOOG,2.96%,298.79,,,,,,,,,,,,,,,,,,,,USA
Meta Platforms,META,2.55%,593.66,,,,,,,,,,,,,,,,,,,,USA
Broadcom,AVGO,2.50%,310.51,,,,,,,,,,,,,,,,,,,,USA
"Tesla, Inc.",TSLA,2.34%,367.96,,,,,,,,,,,,,,,,,,,,USA
Berkshire Hathaway,BRK.B,1.76%,480.94,,,,,,,,,,,,,,,,,,,,USA
Walmart,WMT,1.61%,119.02,,,,,,,,,,,,,,,,,,,,USA
Lilly (Eli),LLY,1.37%,906.7,,,,,,,,,,,,,,,,,,,,USA
JPMorgan Chase,JPM,1.31%,286.56,,,,,,,,,,,,,,,,,,,,USA
ExxonMobil,XOM,1.13%,159.67,,,,,,,,,,,,,,,,,,,,USA
Visa Inc.,V,0.98%,301.62,,,,,,,,,,,,,,,,,,,,USA
Johnson & Johnson,JNJ,0.96%,235.37,,,,,,,,,,,,,,,,,,,,USA
Micron Technology,MU,0.81%,422.9,,,,,,,,,,,,,,,,,,,,USA
Mastercard,MA,0.75%,496.32,,,,,,,,,,,,,,,,,,,,USA
Costco,COST,0.73%,972.33,,,,,,,,,,,,,,,,,,,,USA
Oracle Corporation,ORCL,0.73%,149.68,,,,,,,,,,,,,,,,,,,,USA
Chevron Corporation,CVX,0.68%,201.73,,,,,,,,,,,,,,,,,,,,USA
Netflix,NFLX,0.66%,91.82,,,,,,,,,,,,,,,,,,,,USA
